ENGLISH WORD,THAI WORD,THAI SENTENCE,ENGLISH SENTENCE,EXTRACTED WORD,BLANKED SENTENCE,EXTRACTED THAI WORD,BLANKED THAI SENTENCE
"coordinate, v.",ประสานงาน,ความมุ่งหมายก็คือ เพื่อจะได้มีการประสานงานทางด้านนโยบายการเงินและอัตราการแลกเปลี่ยนเงินตรา,The aim is to coordinate financial policies and currency exchange rates.,coordinate,The aim is to _______ financial policies and currency exchange rates.,ประสานงาน,ความมุ่งหมายก็คือ เพื่อจะได้มีการ_______ทางด้านนโยบายการเงินและอัตราการแลกเปลี่ยนเงินตรา
"core, (central)",แกนกลาง,การกำหนดว่าจะสอนสาระการเรียนรู้แกนกลางเมื่อใด เป็นความรับผิดชอบของโรงเรียน,Deciding when the core topics would be taught is the responsibility of the schools.,core,Deciding when the _______ topics would be taught is the responsibility of the schools.,แกนกลาง,การกำหนดว่าจะสอนสาระการเรียนรู้_______เมื่อใด เป็นความรับผิดชอบของโรงเรียน
crisis,วิกฤติ,ตอนนี้โลกกำลังประสบวิกฤติพลังงาน,The world is experiencing an energy crisis.,crisis,The world is experiencing an energy _______.,วิกฤติ,ตอนนี้โลกกำลังประสบ_______พลังงาน
crisis,วิกฤติ,นายกฯ เวียดนามแสดงความชื่นชมที่ไทยแก้วิกฤตเศรษฐกิจได้รวดเร็ว,The PM of Vietnam expressed admiration that Thailand resolved the economic crisis so quickly.,crisis,The PM of Vietnam expressed admiration that Thailand resolved the economic _______ so quickly.,วิกฤติ,นายกฯ เวียดนามแสดงความชื่นชมที่ไทยแก้วิกฤตเศรษฐกิจได้รวดเร็ว
criteria,บรรทัดฐาน,นักเศรษฐศาสตร์ชั้นนำให้ความเห็นว่า น่าจะใช้ระบบการให้คะแนนตามบรรทัดฐานด้านทักษะ แก่ผู้ที่ต้องการเข้ามาทำงานในประเทศ,"Leading economists say a points system, where prospective immigrants are graded on meeting skills criteria, should be used",criteria,"Leading economists say a points system, where prospective immigrants are graded on meeting skills _______, should be used",บรรทัดฐาน,นักเศรษฐศาสตร์ชั้นนำให้ความเห็นว่า น่าจะใช้ระบบการให้คะแนนตาม_______ด้านทักษะ แก่ผู้ที่ต้องการเข้ามาทำงานในประเทศ
"culture, (society)",วัฒนธรรม,นักเรียนหลายคนในกลุ่มนี้ชอบทำอาหารไทยเพราะว่าพวกเขาได้เรียนรู้วัฒนธรรมมากมาย,Many students in the group enjoy cooking Thai food because they learned a lot about the culture.,culture,Many students in the group enjoy cooking Thai food because they learned a lot about the _______.,วัฒนธรรม,นักเรียนหลายคนในกลุ่มนี้ชอบทำอาหารไทยเพราะว่าพวกเขาได้เรียนรู้_______มากมาย
currency,เงินตรา,การท่องเที่ยวนำเงินตราเข้าประเทศมหาศาล จึงเป็นปัจจัยสำคัญอย่างหนึ่งในการฟื้นฟูเศรษฐกิจ,"Tourism brings massive amounts of currency into the country, so it is an important factor in reviving the economy.",currency,"Tourism brings massive amounts of _______ into the country, so it is an important factor in reviving the economy.",เงินตรา,การท่องเที่ยวนำ_______เข้าประเทศมหาศาล จึงเป็นปัจจัยสำคัญอย่างหนึ่งในการฟื้นฟูเศรษฐกิจ
data,ข้อมูล,ตำรวจยังไม่สามารถอธิบายเหตุการณ์ได้ เนื่องจากมีข้อมูลไม่เพียงพอ,"The police are not yet able to explain the incident, due to insufficient data.",data,"The police are not yet able to explain the incident, due to insufficient _______.",ข้อมูล,ตำรวจยังไม่สามารถอธิบายเหตุการณ์ได้ เนื่องจากมี_______ไม่เพียงพอ
data,ข้อมูล,อย่างแรกก็คือเปลี่ยนข้อมูลที่อยู่ในรูปของแสงไปเป็นสัญญาณไฟฟ้า,"First, it transforms data in the form of light into electrical signals.",data,"First, it transforms _______ in the form of light into electrical signals.",ข้อมูล,อย่างแรกก็คือเปลี่ยน_______ที่อยู่ในรูปของแสงไปเป็นสัญญาณไฟฟ้า
decade,ทศวรรษ,การเปลี่ยนแปลงนี้เกิดขึ้นเพียงชั่วเวลาเพียงทศวรรษ กว่าๆ เท่านั้น,This change occurred during a period of only a decade or more.,decade,This change occurred during a period of only a _______ or more.,ทศวรรษ,การเปลี่ยนแปลงนี้เกิดขึ้นเพียงชั่วเวลาเพียง_______ กว่าๆ เท่านั้น
"decline, (turn down)",ปฏิเสธ,ประธานาธิบดีซูฮาร์โต้แห่งอินโดนีเซียปฏิเสธที่จะกล่าวสุนทรพจน์ในการประชุมสุดยอด,President Suharto of Indonesia declined to give a speech at the summit meeting.,decline,President Suharto of Indonesia _______ to give a speech at the summit meeting.,ปฏิเสธ,ประธานาธิบดีซูฮาร์โต้แห่งอินโดนีเซีย_______ที่จะกล่าวสุนทรพจน์ในการประชุมสุดยอด
"decline, (reduce)",ลดลง,คนที่ระดับคอเลสเตอรอลลดลงมีความเสี่ยงน้อยลงที่จะเกิดความบกพร่องในการเรียนรู้,People whose cholesterol levels declined were at less risk for cognitive impairment.,decline,People whose cholesterol levels _______ were at less risk for cognitive impairment.,ลดลง,คนที่ระดับคอเลสเตอรอล_______มีความเสี่ยงน้อยลงที่จะเกิดความบกพร่องในการเรียนรู้
"decline, (degrade)",เสื่อม,งานวิจัยพบว่าระดับคอเลสเตอรอลที่สูงนำไปสู่อาการสมองเสื่อม,The study found that high cholesterol levels lead to mental decline.,decline,The study found that high cholesterol levels lead to mental _______.,เสื่อม,งานวิจัยพบว่าระดับคอเลสเตอรอลที่สูงนำไปสู่อาการสมอง_______
"decline, (degrade)",เสื่อม,หนังสือเล่มนี้กล่าวถึงสังคมที่กำลังเสื่อมลงของจักรวรรดิ์อังกฤษ,The book describes declining society in the British Empire.,decline,The book describes _______ society in the British Empire.,เสื่อม,หนังสือเล่มนี้กล่าวถึงสังคมที่กำลัง_______ลงของจักรวรรดิ์อังกฤษ
deduce,อนุมาน,สมชายอนุมานคำตอบได้โดยใช้หลักเหตุผลพื้นฐาน,Somchai deduced the answer using simple reasoning.,deduce,Somchai _______ the answer using simple reasoning.,อนุมาน,สมชาย_______คำตอบได้โดยใช้หลักเหตุผลพื้นฐาน
deduce,อนุมาน,ดังนั้นจึงพออนุมานได้ว่า ไวน์แดงนั้นมีประโยชน์,"Therefore, it can be deduced that wine has a benefit.",deduce,"Therefore, it can be _______ that wine has a benefit.",อนุมาน,ดังนั้นจึงพอ_______ได้ว่า ไวน์แดงนั้นมีประโยชน์
definite,แน่นอน,รัฐบาลชุดนี้ไม่มีเป้าหมายการพัฒนาที่แน่นอน,This government has no definite goals for development.,definite,This government has no _______ goals for development.,แน่นอน,รัฐบาลชุดนี้ไม่มีเป้าหมายการพัฒนาที่_______
deny,ปฏิเสธ,ผู้ต้องหาปฏิเสธข้อกล่าวหาทั้งหมด,The suspect denied all of the charges.,deny,The suspect denied all of the charges.,ปฏิเสธ,ผู้ต้องหา_______ข้อกล่าวหาทั้งหมด
deny,ปฏิเสธ,กระทรวงมหาดไทยจะปฏิเสธ ความรับผิดชอบไม่ได้,The Ministry of Interior cannot deny responsibility.,deny,The Ministry of Interior cannot _______ responsibility.,ปฏิเสธ,กระทรวงมหาดไทยจะ_______ ความรับผิดชอบไม่ได้
"design, v.",ออกแบบ,ศิลปินชาวพม่ารับหน้าที่ออกแบบเครื่องแต่งกาย,A Burmese artist accepted the task to design the costumes.,design,A Burmese artist accepted the task to _______ the costumes.,ออกแบบ,ศิลปินชาวพม่ารับหน้าที่_______เครื่องแต่งกาย
"design, n. (field of work)",การออกแบบ,การออกแบบรถยนต์ต้องคำนึงถึงสุนทรียภาพของสี,Car design has to take into consideration the aesthetics of colour.,design,Car _______ has to take into consideration the aesthetics of colour.,การออกแบบ,_______รถยนต์ต้องคำนึงถึงสุนทรียภาพของสี
"design, n. (pattern)",ลวดลาย,ผู้ออกแบบเสื้อผ้าจะเลือกเนื้อผ้าและลวดลายให้เหมาะสมกับฤดูกาล,Clothing designers choose fabric and designs that are appropriate for the season.,design,Clothing _______ choose fabric and _______ that are appropriate for the season.,ลวดลาย,ผู้ออกแบบเสื้อผ้าจะเลือกเนื้อผ้าและ_______ให้เหมาะสมกับฤดูกาล
detect,ตรวจพบ,นักดาราศาสตร์ได้ตรวจพบดาวเคราะห์น้อยในระหว่างการสำรวจระบบสุริยะส่วนนอก,Astronomers detected the asteroid during a survey of the outer solar system.,detect,Astronomers _______ the asteroid during a survey of the outer solar system.,ตรวจพบ,นักดาราศาสตร์ได้_______ดาวเคราะห์น้อยในระหว่างการสำรวจระบบสุริยะส่วนนอก
device,อุปกรณ์,เด็กควรมีอุปกรณ์ส่งเสียงเตือนภัย เมื่อเกิดกรณีฉุกเฉิน,Children should have an alarm trigger device in case of emergency.,device,Children should have an alarm trigger _______ in case of emergency.,อุปกรณ์,เด็กควรมี_______ส่งเสียงเตือนภัย เมื่อเกิดกรณีฉุกเฉิน
dispose of,กำจัด,องค์กรบริหารส่วนท้องถิ่นมีหน้าที่กำจัดขยะมูลฝอย,It is the responsibility of local administrative agencies to dispose of trash.,dispose of,It is the responsibility of local administrative agencies to _______ of trash.,กำจัด,องค์กรบริหารส่วนท้องถิ่นมีหน้าที่_______ขยะมูลฝอย
"document, n.",เอกสาร,เขาขอดูจดหมายหรือเอกสารใดๆ เกี่ยวกับผู้ตาย,He asked to see any letters or documents about the deceased.,document,He asked to see any letters or _______ about the deceased.,เอกสาร,เขาขอดูจดหมายหรือ_______ใดๆ เกี่ยวกับผู้ตาย
dominate,ยึดครอง,เขายืนยันว่าประเทศตะวันตกหมายจะเข้าครองยุโรปตะวันออกเฉียงใต้,He insisted the West intended to dominate southeastern Europe.,dominate,He insisted the West intended to _______ southeastern Europe.,ยึดครอง,เขายืนยันว่าประเทศตะวันตกหมายจะเข้าครองยุโรปตะวันออกเฉียงใต้
domestic,ภายในประเทศ,ความต้องการบริโภคภายในประเทศที่ลดลง ทำให้เศรษฐกิจของไทยยังคงซบเซาต่อไปอีกในปีนี้,Decreased domestic consumer demand has caused Thailand's economy to continue to be sluggish this year.,domestic,Decreased _______ consumer demand has caused Thailand's economy to continue to be sluggish this year.,ภายในประเทศ,ความต้องการบริโภค_______ที่ลดลง ทำให้เศรษฐกิจของไทยยังคงซบเซาต่อไปอีกในปีนี้
"draft, n.",ฉบับร่าง,ผู้ประพันธ์ร่วมเป็นผู้เขียนฉบับร่างฉบับแรก,The co-author pens a first draft.,draft,The co-author pens a first _______.,ฉบับร่าง,ผู้ประพันธ์ร่วมเป็นผู้เขียน_______ฉบับแรก
"draft, v.",ร่าง,กรมนี้จะร่างกฎระเบียบที่เกี่ยวข้องกับขยะมีพิษ,The department will draft regulations concerning toxic trash.,draft,The department will _______ regulations concerning toxic trash.,ร่าง,กรมนี้จะ_______กฎระเบียบที่เกี่ยวข้องกับขยะมีพิษ
economy,เศรษฐกิจ,ความเข้าใจสภาพเศรษฐกิจอย่างถ่องแท้เป็นส่วนสำคัญของการเป็นนักธุรกิจที่ประสบความสำเร็จ,Truly understanding the economic status is an important part of being a successful businessman.,economy,Truly understanding the _______ status is an important part of being a successful businessman.,เศรษฐกิจ,ความเข้าใจสภาพ_______อย่างถ่องแท้เป็นส่วนสำคัญของการเป็นนักธุรกิจที่ประสบความสำเร็จ
economy,เศรษฐกิจ,การท่องเที่ยวจะเป็นปัจจัยสำคัญอย่างหนึ่งในการฟื้นฟูเศรษฐกิจ,Tourism will be an important factor in reviving the economy.,economy,Tourism will be an important factor in reviving the _______.,เศรษฐกิจ,การท่องเที่ยวจะเป็นปัจจัยสำคัญอย่างหนึ่งในการฟื้นฟู_______
"edit, v. (assemble)",ตัดต่อ,การตัดต่อเสียงใช้เทคนิคคล้ายๆกับการบันทึกเสียง,Sound editing uses similar techniques to sound recording.,edit,Sound _______ uses similar techniques to sound recording.,ตัดต่อ,การ_______เสียงใช้เทคนิคคล้ายๆกับการบันทึกเสียง
"edit, v. (refine)",ตรวจแก้,พอเขียนเสร็จแล้วบรรณาธิการจะตรวจแก้ให้,"As soon as it's written, the editor will edit it.",edit,"As soon as it's written, the _______ will _______ it.",ตรวจแก้,พอเขียนเสร็จแล้วบรรณาธิการจะ_______ให้
"editor, (writing)",บรรณาธิการ,บรรณาธิการอาสาจะจัดพิมพ์นวนิยายเรื่องนี้ทันทีที่เขียนเสร็จสมบูรณ์,The editor volunteered to print the novel as soon as it was finished.,editor,The _______ volunteered to print the novel as soon as it was finished.,บรรณาธิการ,_______อาสาจะจัดพิมพ์นวนิยายเรื่องนี้ทันทีที่เขียนเสร็จสมบูรณ์
"emphasize, (focus)",เน้น,คำขวัญในสมัยก่อนเน้นเรื่องวินัย ความซื่อสัตย์ และตรงเวลา,"In the olden days, the mottos emphasized discipline, honesty, and punctuality.",emphasize,"In the olden days, the mottos _______ discipline, honesty, and punctuality.",เน้น,คำขวัญในสมัยก่อน_______เรื่องวินัย ความซื่อสัตย์ และตรงเวลา
"encounter, n.",การเผชิญหน้า,การเผชิญหน้ากันระหว่างรัฐบาลสหรัฐอเมริกากับกลุ่มสหภาพยุโรปก่อให้เกิดความตึงเครียด,The encounter between the governments of the United States and the European Union caused tension.,encounter,The _______ between the governments of the United States and the European Union caused tension.,การเผชิญหน้า,_______กันระหว่างรัฐบาลสหรัฐอเมริกากับกลุ่มสหภาพยุโรปก่อให้เกิดความตึงเครียด
energy,พลังงาน,มาตราการการประหยัดพลังงานนำมาซึ่งการขยายตัวของการส่งออก,Energy-saving measures have brought about an expansion in exports.,energy,Energy-saving measures have brought about an expansion in exports.,พลังงาน,มาตราการการประหยัด_______นำมาซึ่งการขยายตัวของการส่งออก
"enormous, (concrete)",มหึมา,เขาแทงปลาแซลมอนขนาดมหึมาได้ตัวหนึ่ง,He speared an enormous salmon.,enormous,He speared an _______ salmon.,มหึมา,เขาแทงปลาแซลมอนขนาด_______ได้ตัวหนึ่ง
ensure,รับประกัน,น่าจะลงทุนน้ำมันเพื่อรับประกันความมั่นคงทางการเงิน,You should invest in oil in order to ensure financial security,ensure,You should invest in oil in order to _______ financial security,รับประกัน,น่าจะลงทุนน้ำมันเพื่อ_______ความมั่นคงทางการเงิน
ensure,รับประกัน,การลงทุนปลูกพืชเพื่อผลิตเชื้อเพลิงทางเลือก เป็นการรับประกันความมั่นคงของประเทศ,Investing in cultivation for alternative fuels ensures the country's security.,ensure,Investing in cultivation for alternative fuels _______ the country's security.,รับประกัน,การลงทุนปลูกพืชเพื่อผลิตเชื้อเพลิงทางเลือก เป็นการ_______ความมั่นคงของประเทศ
environment,สภาพแวดล้อม,เราดำเนินการธุรกิจที่ไม่ส่งผลเสียต่อสภาพแวดล้อม,We conduct of business that is not harmful to the environment.,environment,We conduct of business that is not harmful to the _______.,สภาพแวดล้อม,เราดำเนินการธุรกิจที่ไม่ส่งผลเสียต่อ_______
environmental,ด้านสิ่งแวดล้อม,คณะวิจัยจะสำรวจผลกระทบด้านสิ่งแวดล้อมเป็นระยะเวลา 10 ปี,The research team will survey the environmental impact for a period of 10 years.,environmental,The research team will survey the _______ impact for a period of 10 years.,ด้านสิ่งแวดล้อม,คณะวิจัยจะสำรวจผลกระทบ_______เป็นระยะเวลา 10 ปี
equation,สมการ,นักวิจัยใช้สมการคณิตศาสตร์เพื่ออธิบายการกระจัดกระจายของกลุ่มเมฆ,The researchers use mathematical equations to explain cloud dispersion.,equation,The researchers use mathematical _______ to explain cloud dispersion.,สมการ,นักวิจัยใช้_______คณิตศาสตร์เพื่ออธิบายการกระจัดกระจายของกลุ่มเมฆ
error,ความผิดพลาด,ความผิดพลาดจะมากขึ้น เมื่อเราละเลยที่จะค้นหาความจริง,Error is strengthened by neglecting to look into truth.,error,Error is strengthened by neglecting to look into truth.,ความผิดพลาด,_______จะมากขึ้น เมื่อเราละเลยที่จะค้นหาความจริง
establish,สถาปนา,รัฐบาลสถาปนามหาวิทยาลัยรามคำแหงขึ้นในปี 2514,The government established Ramkhamhaeng University in 1971.,establish,The government _______ Ramkhamhaeng University in 1971.,สถาปนา,รัฐบาล_______มหาวิทยาลัยรามคำแหงขึ้นในปี 2514
"estimate, v.",ประมาณการณ์,กลุ่มผู้ดำเนินธุรกิจประมาณการณ์ว่าพวกเจ้าของสัตว์เลี้ยงจะใช้จ่ายในปี 2004 ประมาณ 34.3 พันล้านเหรียญสหรัฐ,The industry group estimates that pet owners will spend about $34.3 billion in 2004.,estimate,The industry group _______ that pet owners will spend about $34.3 billion in 2004.,ประมาณการณ์,กลุ่มผู้ดำเนินธุรกิจ_______ว่าพวกเจ้าของสัตว์เลี้ยงจะใช้จ่ายในปี 2004 ประมาณ 34.3 พันล้านเหรียญสหรัฐ
ethnic,เชื้อชาติ,การเข้าร่วมโครงการยังช่วยทำลายกำแพงวัฒนธรรมและเชื้อชาติให้หมดไป,Participation in the program helps to break down cultural and ethnic barriers.,ethnic,Participation in the program helps to break down cultural and _______ barriers.,เชื้อชาติ,การเข้าร่วมโครงการยังช่วยทำลายกำแพงวัฒนธรรมและ_______ให้หมดไป
evolution,วิวัฒนาการ,ผมเริ่มจะเกิดความเข้าใจแนวทางวิวัฒนาการที่เกิดขึ้นแล้ว,I began to realize something of the course of evolution that had happened.,evolution,I began to realize something of the course of _______ that had happened.,วิวัฒนาการ,ผมเริ่มจะเกิดความเข้าใจแนวทาง_______ที่เกิดขึ้นแล้ว
evolve,มีวิวัฒนาการ,นักวิทยาศาสตร์มีสมมุติฐานว่ามนุษย์มีวิวัฒนาการมาจากลิง,Scientists hypothesize that humans evolved from monkeys.,evolve,Scientists hypothesize that humans _______ from monkeys.,มีวิวัฒนาการ,นักวิทยาศาสตร์มีสมมุติฐานว่ามนุษย์_______มาจากลิง
"expert, n.",ผู้เชี่ยวชาญ,ผู้เชี่ยวชาญในวงการโฆษณาและการตลาด ได้รับเชิญมาร่วมสัมมนา,Experts from the fields of advertising and marketing were invited to the seminar.,expert,Experts from the fields of advertising and marketing were invited to the seminar.,ผู้เชี่ยวชาญ,_______ในวงการโฆษณาและการตลาด ได้รับเชิญมาร่วมสัมมนา
"export, v.",ส่งออก,ไทยเป็นประเทศแรกในเอเชียที่ส่งออกข้าวปลอดสารเคมี,Thailand is the first country in Asia to export chemical-free rice.,export,Thailand is the first country in Asia to _______ chemical-free rice.,ส่งออก,ไทยเป็นประเทศแรกในเอเชียที่_______ข้าวปลอดสารเคมี
external,ภายนอก,มีอุปสรรคจากปัจจัยทั้งภายในและภายนอก,There are obstacles from both internal and external factors.,external,There are obstacles from both internal and _______ factors.,ภายนอก,มีอุปสรรคจากปัจจัยทั้งภายในและ_______
facilitate,อำนวยความสะดวก,มีการจัดตั้งกองทุนเพื่ออำนวยความสะดวกในการปฎิบัติงานด้านทันตกรรม,A fund has also been set up to facilitate the dental work.,facilitate,A fund has also been set up to _______ the dental work.,อำนวยความสะดวก,มีการจัดตั้งกองทุนเพื่อ_______ในการปฎิบัติงานด้านทันตกรรม
"factor, n.",ปัจจัย,การท่องเที่ยวจะเป็นปัจจัยสำคัญอย่างหนึ่งในการฟื้นฟูเศรษฐกิจ,Tourism will be an important factor in reviving the economy.,factor,Tourism will be an important _______ in reviving the economy.,ปัจจัย,การท่องเที่ยวจะเป็น_______สำคัญอย่างหนึ่งในการฟื้นฟูเศรษฐกิจ
"file, n. (paper)",แฟ้มเอกสาร,การจัดแฟ้มเอกสารให้เรียบร้อย เป็นหนึ่งในหน้าที่ของเลขานุการ,Organizing the files is one of a secretary's responsibilities.,file,Organizing the _______ is one of a secretary's responsibilities.,แฟ้มเอกสาร,การจัด_______ให้เรียบร้อย เป็นหนึ่งในหน้าที่ของเลขานุการ
"file, n. (computer)",แฟ้มข้อมูล,การบันทึกข้อมูลลงในแฟ้มข้อมูลคอมพิวเตอร์ จะช่วยให้สืบค้นข้อมูลได้รวดเร็วขึ้น,Recording data in computer files makes retrieving data faster.,file,Recording data in computer _______ makes retrieving data faster.,แฟ้มข้อมูล,การบันทึกข้อมูลลงใน_______คอมพิวเตอร์ จะช่วยให้สืบค้นข้อมูลได้รวดเร็วขึ้น
"file, v.",ยื่น,คนที่ยื่นแบบแสดงรายการภาษีเงินได้ในประเทศไทยได้ประโยชน์จากการลดหย่อนภาษี,Those who file tax returns in Thailand benefit from tax reductions.,file,Those who _______ tax returns in Thailand benefit from tax reductions.,ยื่น,คนที่_______แบบแสดงรายการภาษีเงินได้ในประเทศไทยได้ประโยชน์จากการลดหย่อนภาษี
"final, adj.",สุดท้าย,ข้อพิสูจน์สุดท้ายได้มาจากฟันของเขา,The final proof was provided by his teeth.,final,The _______ proof was provided by his teeth.,สุดท้าย,ข้อพิสูจน์_______ได้มาจากฟันของเขา
financial,ทางการเงิน,การลงทุนซื้อพันธบัตรน้ำมันจะช่วยรับประกันความมั่นคงทางการเงิน,Investing in oil bonds will help ensure financial security.,financial,Investing in oil bonds will help ensure _______ security.,ทางการเงิน,การลงทุนซื้อพันธบัตรน้ำมันจะช่วยรับประกันความมั่นคง_______
flexible,มีความยืดหยุ่น,ต่างประเทศมีความยืดหยุ่นสูง จึงให้เรากำหนดวันเลือกตั้งได้หลายวัน,"Other countries are very flexible, allowing us to schedule several days for voting.",flexible,"Other countries are very _______, allowing us to schedule several days for voting.",มีความยืดหยุ่น,ต่างประเทศ_______สูง จึงให้เรากำหนดวันเลือกตั้งได้หลายวัน
forecast,พยากรณ์,โครงการวิจัยนี้พยากรณ์ว่าอีกราว 40 ปีต่อจากนี้ ประมาณ 10 ถึง 30 เปอร์เซนต์ของสัตว์ก็จะถูกคุกคามจนใกล้จะสูญพันธุ์ครับ,"This research project forecasts that, in about 40 years, approximately 10 to 30 percent of animals will be threatened near to extinction.",forecast,"This research project _______ that, in about 40 years, approximately 10 to 30 percent of animals will be threatened near to extinction.",พยากรณ์,โครงการวิจัยนี้_______ว่าอีกราว 40 ปีต่อจากนี้ ประมาณ 10 ถึง 30 เปอร์เซนต์ของสัตว์ก็จะถูกคุกคามจนใกล้จะสูญพันธุ์ครับ
"found, v. (establish)",ก่อตั้ง,องค์กรนี้ก่อตั้งขึ้นเมื่อปี 1995,This organization was founded in 1995.,found,This organization was _______ in 1995.,ก่อตั้ง,องค์กรนี้_______ขึ้นเมื่อปี 1995
"foundation, n. (organization)",มูลนิธิ,มูลนิธิกองทุนกอริลลาได้ทำการศึกษาวิจัยเชาวน์ปัญญาของกอริลลามาหลายปีแล้ว,The Gorilla Foundation has studied gorilla intelligence for many years.,foundation,The Gorilla Foundation has studied gorilla intelligence for many years.,มูลนิธิ,_______กองทุนกอริลลาได้ทำการศึกษาวิจัยเชาวน์ปัญญาของกอริลลามาหลายปีแล้ว
"foundation, n. (physical)",รากฐาน(ทางวัฒนธรรม ทางสังคม) ฐานราก (ของสิ่งก่อสร้าง),อารยธรรมนี้มีชื่อเสียงด้านเครื่องปั้นดินเผาที่งดงามและการก่อสร้างบ้านเรือนด้วยอิฐดินดิบบน(รากฐานพื้น) ฐานรากที่เป็นหิน," ""This civilization is well-known for beautiful pottery and constructing houses from mud-bricks on stone foundations.""",foundation," ""This civilization is well-known for beautiful pottery and constructing houses from mud-bricks on stone _______.""",รากฐาน(ทางวัฒนธรรม ทางสังคม) ฐานราก (ของสิ่งก่อสร้าง),อารยธรรมนี้มีชื่อเสียงด้านเครื่องปั้นดินเผาที่งดงามและการก่อสร้างบ้านเรือนด้วยอิฐดินดิบบน(รากฐานพื้น) ฐานรากที่เป็นหิน
"foundation, n. (figurative)",พื้นฐาน,ธุรกิจครอบครัวเป็นพื้นฐานในการดำเนินกิจการของบริษัทใหญ่ๆหลายแห่ง,Family businesses are the foundation of the business dealings of many large companies.,foundation,Family businesses are the _______ of the business dealings of many large companies.,พื้นฐาน,ธุรกิจครอบครัวเป็น_______ในการดำเนินกิจการของบริษัทใหญ่ๆหลายแห่ง
fundamental,พื้นฐาน,ไวยากรณ์ภาษาอังกฤษเป็นความรู้พื้นฐานของการใช้สื่อสารที่มีประสิทธิภาพ,English grammar is fundamental knowledge for effective communication.,fundamental,English grammar is _______ knowledge for effective communication.,พื้นฐาน,ไวยากรณ์ภาษาอังกฤษเป็นความรู้_______ของการใช้สื่อสารที่มีประสิทธิภาพ
framework,โครงสร้าง,ผมสังเกตว่า โครงสร้างตึกที่ประเทศสหรัฐฯ ส่วนใหญ่จะเป็นโครงสร้างเหล็ก,I have noticed that the frameworks of the buildings in the U.S. are mostly metal.,framework,I have noticed that the _______ of the buildings in the U.S. are mostly metal.,โครงสร้าง,ผมสังเกตว่า _______ตึกที่ประเทศสหรัฐฯ ส่วนใหญ่จะเป็น_______เหล็ก
"function, n.",หน้าที่,จอตามีหน้าที่หลักสองประการ,The retina has two main functions.,function,The retina has two main _______.,หน้าที่,จอตามี_______หลักสองประการ
"fund, n.",กองทุน,กองทุนรวมหุ้นระยะยาวนี้เป็นกองทุนแบบเปิดซึ่งผู้ถือหุ้นมีสิทธิ์ไถ่ถอนได้ไม่เกินปีละสองครั้ง,A long term fund is an open-ended fund with redemption rights not exceeding twice a year.,fund,A long term _______ is an open-ended _______ with redemption rights not exceeding twice a year.,กองทุน,_______รวมหุ้นระยะยาวนี้เป็น_______แบบเปิดซึ่งผู้ถือหุ้นมีสิทธิ์ไถ่ถอนได้ไม่เกินปีละสองครั้ง
gender,เพศ,ตำแหน่งนี้จะไม่มีข้อจำกัดเรื่องเพศและการศึกษา,This position has no restrictions for gender and education.,gender,This position has no restrictions for _______ and education.,เพศ,ตำแหน่งนี้จะไม่มีข้อจำกัดเรื่อง_______และการศึกษา
"generation, n. (conceptual)",รุ่น,เราพยายามจะเปลี่ยนระบบในพม่า เพื่อสร้างคนรุ่นใหม่,We are trying to change the system in Burma to build up a new generation.,generation,We are trying to change the system in Burma to build up a new _______.,รุ่น,เราพยายามจะเปลี่ยนระบบในพม่า เพื่อสร้างคน_______ใหม่
"generation, n. (conceptual)",รุ่น,บริษัทไม่ได้นำรถรุ่นที่สองเข้ามาจำหน่าย,The company skipped sales of the second-generation model.,generation,The company skipped sales of the second-_______ model.,รุ่น,บริษัทไม่ได้นำรถ_______ที่สองเข้ามาจำหน่าย
"generation, n. (timespan)",ชั่วคน,ความสามารถทางศิลปะในครอบครัวนี้สืบทอดมาหลายชั่วคน,Artistic ability in this family has been passed down through many generations.,generation,Artistic ability in this family has been passed down through many _______.,ชั่วคน,ความสามารถทางศิลปะในครอบครัวนี้สืบทอดมาหลาย_______
goal,เป้าหมาย,เป้าหมายสูงสุดของโครงการที่ท่านเสนอมาจะค้านกับความเป็นจริง,The ultimate goal of the project you have proposed is at odds with reality.,goal,The ultimate _______ of the project you have proposed is at odds with reality.,เป้าหมาย,_______สูงสุดของโครงการที่ท่านเสนอมาจะค้านกับความเป็นจริง
"grade, n. (quality)",ระดับ,สินค้าหัตถกรรมที่มีรูปแบบทางตะวันออกนั้นแบ่งออกเป็นสองระดับ,Eastern-style handicrafts are divided into two grades.,grade,Eastern-style handicrafts are divided into two _______.,ระดับ,สินค้าหัตถกรรมที่มีรูปแบบทางตะวันออกนั้นแบ่งออกเป็นสอง_______
"guarantee, v.",รับรอง,ผมรับรองได้ว่าเขาสามารถทำต่อไปได้อย่างดีมากโดยไม่มีพวกเรา,I can guarantee that he will continue to do well without us.,guarantee,I can _______ that he will continue to do well without us.,รับรอง,ผม_______ได้ว่าเขาสามารถทำต่อไปได้อย่างดีมากโดยไม่มีพวกเรา
hypothesis,สมมุติฐาน,ผลการศึกษาของเราสนับสนุนสมมุติฐานที่ว่ายาตัวนี้อาจจะช่วยป้องกันโรคอัลไซเมอรส์ได้," ""The results of our study support the hypothesis that this drug may prevent Alzheimer's disease.""",hypothesis," ""The results of our study support the _______ that this drug may prevent Alzheimer's disease.""",สมมุติฐาน,ผลการศึกษาของเราสนับสนุน_______ที่ว่ายาตัวนี้อาจจะช่วยป้องกันโรคอัลไซเมอรส์ได้
